city,country,distance,id,lat,localized_country_name,lon,member_count,ranking,zip
Lenzburg,ch,790.146674747643,1005254,47.38999938964844,Switzerland,8.180000305175781,6,64,meetup179
Wangen-Brüttisellen,ch,805.946710192011,1005294,47.43000030517578,Switzerland,8.619999885559082,6,65,meetup219
Chavannes,ch,769.9189795644172,1005328,46.540000915527344,Switzerland,6.590000152587891,5,66,meetup253
La Chaux-de-Fonds,ch,750.1448203634606,1005087,47.11000061035156,Switzerland,6.820000171661377,5,67,meetup12
Glarus,ch,841.473935145091,1005344,47.04999923706055,Switzerland,9.0600004196167,5,68,meetup269
Horgen,ch,812.6025449705395,1005114,47.27000045776367,Switzerland,8.600000381469727,5,69,meetup39
Sargans,ch,855.5691629356852,1005388,47.060001373291016,Switzerland,9.420000076293945,5,70,meetup313
Opfikon,ch,803.4678589437958,1005160,47.439998626708984,Switzerland,8.569999694824219,5,71,meetup85
Spreitenbach,ch,796.3548334564966,1005189,47.41999816894531,Switzerland,8.369999885559082,5,72,meetup114
Sursee,ch,796.9563088260516,1005233,47.16999816894531,Switzerland,8.09000015258789,5,73,meetup158
Yens,ch,764.5548770318778,1005492,46.52000045776367,Switzerland,6.420000076293945,5,74,meetup417
Neuenhof,ch,792.0849304777341,1005255,47.459999084472656,Switzerland,8.3100004196167,5,75,meetup180
Wollerau,ch,820.7128891630438,1005275,47.20000076293945,Switzerland,8.720000267028809,5,76,meetup200
Collonge-Bellerive,ch,805.4979350591316,1005277,46.16999816894531,Switzerland,7.03000020980835,5,77,meetup202
Dietlikon,ch,805.483340953374,1005313,47.439998626708984,Switzerland,8.619999885559082,4,78,meetup238
Biasca,ch,870.6874450492381,1005325,46.369998931884766,Switzerland,8.970000267028809,4,79,meetup250
Zermatt,ch,840.6083661039058,1005354,46.02000045776367,Switzerland,7.75,4,80,meetup279
Buochs,ch,819.2391188417145,1005368,46.970001220703125,Switzerland,8.40999984741211,4,81,meetup293
Oberglatt,ch,798.7948050816456,1005371,47.47999954223633,Switzerland,8.5,4,82,meetup296
Ascona,ch,872.2987418850715,1005380,46.16999816894531,Switzerland,8.760000228881836,4,83,meetup305
Herisau,ch,834.081224484455,1005138,47.400001525878906,Switzerland,9.279999732971191,4,84,meetup63
Saint-Imier,ch,755.1443344400705,1005396,47.150001525878906,Switzerland,7.0,4,85,meetup321
Volketswil,ch,811.4934309749154,1005142,47.380001068115234,Switzerland,8.699999809265137,4,86,meetup67
Langenthal,ch,782.292819936064,1005144,47.220001220703125,Switzerland,7.78000020980835,4,87,meetup69
Schwyz,ch,824.7484502516722,1005153,47.029998779296875,Switzerland,8.619999885559082,4,88,meetup78
Cham,ch,810.7558368948763,1005155,47.189998626708984,Switzerland,8.460000038146973,4,89,meetup80
Rheinfelden,ch,766.6415312791117,1005179,47.560001373291016,Switzerland,7.789999961853027,4,90,meetup104
Lyss,ch,769.8207623210991,1005181,47.08000183105469,Switzerland,7.289999961853027,4,91,meetup106
Affoltern,ch,805.2434437323991,1005188,47.290000915527344,Switzerland,8.4399995803833,4,92,meetup113
Davos,ch,883.6146538078777,1005196,46.810001373291016,Switzerland,9.819999694824219,4,93,meetup121
Zofingen,ch,785.6956258894826,1005222,47.290000915527344,Switzerland,7.949999809265137,4,94,meetup147
